Campus,Algebra_Rate,Biology_Rate,English_Rate,US_History_Rate,Class_Size_English,Class_Size_Math,Class_Size_Sci,Class_Size_Soc_Stud,Teacher_Beginning_Count,Teacher_Beginning_Percent,Teacher_1-5_Years_Count,Teacher_1-5_Years_Percent,Teacher_6-10_Years_Count,Teacher_6-10_Years_Percent,Teacher_11-20_Years_Count,Teacher_11-20_Years_Percent,Teacher_More_Than_20_Years_Count,Teacher_More_Than_20_Years_Percent,Teacher_BA_Degree_Count,Teacher_BA_Degree_Percent,Teacher_Experience_Average,Teacher_Student_Ratio,Teacher_MS_Degree_Count,Teacher_MS_Degree_Percent,Teacher_No_Degree_Count,Teacher_No_Degree_Percent,Teacher_PH_Degree_Count,Teacher_PH_Degree_Percent,Teacher_Tenure_Average,Campus_Name,County_Name,County,District_Name,District,Region,Region_Name,Median_Household_Income,Gini_Index,Median_Family_Income,Poverty_Rate,Avg_Max_Temp,Avg_Min_Temp
003903001,49.0,57.0,39.0,76.0,16.2,16.9,17.9,16.8,17.0,9.4,47.1,26.2,32.1,17.9,40.2,22.3,43.4,24.2,129.5,72.0,12.4,11.9,45.3,25.2,5.0,2.8,0.0,0.0,9.3,LUFKIN H S,ANGELINA,003,LUFKIN ISD,003903,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003903004,0.0,33.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,STUBBLEFIELD LRN CTR,ANGELINA,003,LUFKIN ISD,003903,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003904001,61.0,51.0,47.0,64.0,18.0,18.1,18.1,19.1,0.0,0.0,9.0,23.1,3.5,9.0,14.6,37.4,11.9,30.5,28.6,73.3,15.3,13.2,9.4,24.2,1.0,2.6,0.0,0.0,7.8,HUNTINGTON H S,ANGELINA,003,HUNTINGTON ISD,003904,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003905001,50.0,58.0,44.0,77.0,16.4,18.5,19.1,18.0,6.4,17.5,5.0,13.7,10.4,28.5,8.3,22.8,6.4,17.6,29.2,79.7,10.8,13.6,7.4,20.3,0.0,0.0,0.0,0.0,4.8,DIBOLL H S,ANGELINA,003,DIBOLL ISD,003905,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003906001,42.0,27.0,32.0,79.0,9.5,9.3,12.5,13.3,2.2,11.9,2.9,15.5,1.0,5.2,8.8,46.6,3.9,20.7,14.9,79.3,12.6,10.1,3.9,20.7,0.0,0.0,0.0,0.0,5.8,ZAVALLA H S,ANGELINA,003,ZAVALLA ISD,003906,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
003907001,57.0,59.0,45.0,73.0,13.7,14.3,14.3,19.5,3.3,9.2,12.0,33.9,8.0,22.5,9.1,25.7,3.1,8.8,29.4,82.8,9.9,11.3,6.1,17.2,0.0,0.0,0.0,0.0,5.0,CENTRAL H S,ANGELINA,003,CENTRAL ISD,003907,07,KILGORE,50453.0,0.4369,57524.0,17.20757655573624,85.55,55.91
004901001,71.0,62.0,44.0,78.0,16.0,20.3,21.7,22.3,4.8,7.7,14.5,23.2,6.4,10.2,24.3,39.0,12.3,19.8,42.9,68.9,13.6,13.8,15.8,25.4,3.0,4.8,0.6,0.9,6.6,ROCKPORT-FULTON H S,ARANSAS,004,ARANSAS COUNTY ISD,004901,02,CORPUS CHRISTI,45137.0,0.5348,58299.0,20.959038508707383,85.73,61.45
005901001,58.0,56.0,68.0,59.0,14.4,13.6,15.2,13.3,0.0,0.0,5.8,21.9,6.1,22.8,8.5,31.7,6.3,23.5,21.7,81.5,14.5,8.7,4.9,18.5,0.0,0.0,0.0,0.0,8.6,ARCHER CITY H S,ARCHER,005,ARCHER CITY ISD,005901,09,WICHITA FALLS,63835.0,0.4654,83672.0,11.85176686553465,,
005902001,83.0,83.0,78.0,69.0,8.1,14.5,15.2,10.7,1.6,5.7,3.0,10.6,4.6,16.5,9.7,34.4,9.2,32.7,20.2,71.7,15.9,11.3,7.2,25.7,0.7,2.6,0.0,0.0,7.7,HOLLIDAY H S,ARCHER,005,HOLLIDAY ISD,005902,09,WICHITA FALLS,63835.0,0.4654,83672.0,11.85176686553465,,
005904001,72.0,68.0,58.0,68.0,9.5,9.1,12.0,12.8,0.0,0.0,2.3,16.2,1.1,7.4,3.0,20.9,8.0,55.5,11.0,76.2,17.7,9.4,3.4,23.8,0.0,0.0,0.0,0.0,12.2,WINDTHORST H S,ARCHER,005,WINDTHORST ISD,005904,09,WICHITA FALLS,63835.0,0.4654,83672.0,11.85176686553465,,
006902001,67.0,81.0,46.0,90.0,9.5,6.8,9.3,11.7,4.2,25.1,3.5,21.0,0.0,0.0,4.7,27.8,4.4,26.1,11.3,67.3,12.2,8.3,4.5,26.8,1.0,5.9,0.0,0.0,6.1,CLAUDE H S,ARMSTRONG,006,CLAUDE ISD,006902,16,AMARILLO,72500.0,0.3981,79479.0,8.819057273188038,,
007901001,33.0,66.0,54.0,66.0,10.1,10.0,9.8,7.5,1.0,6.4,5.3,33.9,4.0,25.7,3.3,21.2,2.0,12.8,11.4,73.4,9.0,9.3,3.1,20.1,1.0,6.4,0.0,0.0,5.0,CHARLOTTE H S,ATASCOSA,007,CHARLOTTE ISD,007901,20,SAN ANTONIO,55366.0,0.4324,60968.0,14.529155225327086,90.91,59.73
007902001,52.0,63.0,49.0,81.0,13.2,13.8,16.2,13.1,1.5,3.6,4.6,11.1,7.6,18.5,13.0,31.6,14.6,35.4,24.3,59.0,15.7,10.1,16.8,40.8,0.1,0.2,0.0,0.0,7.9,JOURDANTON H S,ATASCOSA,007,JOURDANTON ISD,007902,20,SAN ANTONIO,55366.0,0.4324,60968.0,14.529155225327086,90.91,59.73
007904001,7.0,69.0,30.0,45.0,19.4,18.6,17.0,17.8,2.0,5.1,9.5,24.5,6.9,17.8,10.0,25.7,10.4,26.9,27.9,71.8,13.2,11.8,10.9,28.2,0.0,0.0,0.0,0.0,8.2,LYTLE H S,ATASCOSA,007,LYTLE ISD,007904,20,SAN ANTONIO,55366.0,0.4324,60968.0,14.529155225327086,90.91,59.73
007905001,64.0,50.0,40.0,70.0,18.4,18.7,18.0,19.7,3.0,4.3,16.0,23.1,8.9,12.9,23.2,33.6,18.1,26.1,48.5,70.0,13.7,14.9,20.8,30.0,0.0,0.0,0.0,0.0,8.9,PLEASANTON H S,ATASCOSA,007,PLEASANTON ISD,007905,20,SAN ANTONIO,55366.0,0.4324,60968.0,14.529155225327086,90.91,59.73
007906001,32.0,42.0,33.0,39.0,10.5,15.6,15.3,12.2,9.0,23.8,12.1,31.9,6.0,15.7,3.9,10.4,6.9,18.3,29.0,76.5,8.8,12.7,7.9,20.8,1.0,2.6,0.0,0.0,3.5,POTEET H S,ATASCOSA,007,POTEET ISD,007906,20,SAN ANTONIO,55366.0,0.4324,60968.0,14.529155225327086,90.91,59.73
008901001,43.0,56.0,52.0,64.0,13.0,14.2,14.5,13.1,3.2,6.2,11.0,21.4,10.0,19.5,12.9,25.1,14.3,27.8,39.0,75.9,14.1,13.9,10.0,19.5,1.0,1.9,1.4,2.7,8.6,BELLVILLE H S,AUSTIN,008,BELLVILLE ISD,008901,06,HUNTSVILLE,66206.0,0.4146,78195.0,12.038032522510417,88.09,58.27
008902001,47.0,66.0,46.0,69.0,16.7,17.6,17.5,19.1,3.0,4.7,17.0,26.6,17.9,27.9,13.4,20.9,12.7,19.9,51.3,80.1,11.0,12.6,11.7,18.3,1.0,1.6,0.0,0.0,6.4,SEALY H S,AUSTIN,008,SEALY ISD,008902,06,HUNTSVILLE,66206.0,0.4146,78195.0,12.038032522510417,88.09,58.27
008903001,60.0,50.0,57.0,81.0,10.7,16.5,15.1,17.4,3.2,14.5,3.3,14.7,5.3,23.7,5.9,26.1,4.7,21.1,15.7,69.9,12.4,9.7,6.8,30.1,0.0,0.0,0.0,0.0,5.0,BRAZOS H S,AUSTIN,008,BRAZOS ISD,008903,06,HUNTSVILLE,66206.0,0.4146,78195.0,12.038032522510417,88.09,58.27
009901001,54.0,47.0,33.0,66.0,10.9,10.8,13.4,15.0,4.6,12.9,9.7,27.0,3.9,10.9,11.7,32.6,5.9,16.5,23.3,64.7,11.6,9.7,12.2,33.9,0.0,0.0,0.5,1.4,6.4,MULESHOE H S,BAILEY,009,MULESHOE ISD,009901,17,LUBBOCK,52273.0,0.4025,62517.0,8.309859154929578,85.82,42.18
010901001,14.0,52.0,42.0,84.0,12.7,6.1,7.6,9.4,5.0,16.6,5.2,17.4,4.0,13.3,5.5,18.2,10.4,34.5,27.1,90.4,13.8,10.2,2.0,6.7,0.0,0.0,0.9,2.9,4.7,MEDINA SCHOOL,BANDERA,010,MEDINA ISD,010901,20,SAN ANTONIO,58661.0,0.421,67216.0,15.552554580238578,89.36,53.82
010902001,28.0,57.0,48.0,70.0,14.3,14.9,18.7,21.1,3.2,6.6,10.8,22.2,8.0,16.5,17.2,35.5,9.3,19.3,25.3,52.2,12.3,13.2,22.1,45.7,0.0,0.0,1.0,2.1,6.3,BANDERA H S,BANDERA,010,BANDERA ISD,010902,20,SAN ANTONIO,58661.0,0.421,67216.0,15.552554580238578,89.36,53.82
011901001,20.0,50.0,35.0,77.0,18.1,20.6,21.1,24.2,10.5,10.9,23.3,24.2,14.0,14.5,30.9,32.1,17.6,18.3,72.8,75.7,12.3,15.2,17.8,18.5,3.0,3.1,2.6,2.7,6.3,BASTROP H S,BASTROP,011,BASTROP ISD,011901,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011901002,33.0,45.0,33.0,65.0,17.9,21.9,20.6,26.4,14.1,13.6,38.8,37.5,16.3,15.8,19.0,18.3,15.3,14.8,78.0,75.4,9.7,15.2,22.1,21.4,3.0,2.9,0.4,0.4,5.2,CEDAR CREEK H S,BASTROP,011,BASTROP ISD,011901,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011901005,96.0,93.0,72.0,96.0,13.4,16.2,17.4,16.6,2.8,22.4,5.0,40.0,1.3,10.2,1.4,11.3,2.0,16.0,5.1,40.6,7.8,16.5,6.4,51.4,0.0,0.0,1.0,8.0,5.6,COLORADO RIVER COLLEGIATE ACADEMY,BASTROP,011,BASTROP ISD,011901,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011901022,7.0,20.0,7.0,25.0,2.1,1.8,2.4,3.2,0.0,0.0,0.0,0.0,0.7,9.9,3.6,49.1,3.0,41.0,3.7,51.0,17.8,15.3,3.6,49.0,0.0,0.0,0.0,0.0,12.3,GENESIS H S,BASTROP,011,BASTROP ISD,011901,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011902001,17.0,43.0,33.0,62.0,15.8,20.1,19.8,21.6,7.0,8.2,36.8,42.9,16.3,19.0,20.8,24.2,5.0,5.8,59.2,69.0,7.9,15.0,24.6,28.7,2.0,2.3,0.0,0.0,3.0,ELGIN H S,BASTROP,011,ELGIN ISD,011902,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011902004,0.0,0.0,6.0,25.0,1.9,1.3,2.0,2.8,1.0,24.1,1.0,24.1,0.0,0.0,0.0,0.0,2.1,51.7,2.0,48.3,20.2,12.1,2.1,51.7,0.0,0.0,0.0,0.0,9.0,PHOENIX H S,BASTROP,011,ELGIN ISD,011902,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011904002,39.0,48.0,58.0,66.0,14.4,13.9,16.2,14.2,3.8,7.9,11.9,24.5,8.0,16.4,13.4,27.5,11.6,23.7,34.3,70.4,12.3,11.2,14.4,29.6,0.0,0.0,0.0,0.0,7.8,SMITHVILLE H S,BASTROP,011,SMITHVILLE ISD,011904,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
011905001,54.0,74.0,69.0,65.0,8.2,9.6,7.4,11.4,4.7,22.8,7.5,36.7,1.3,6.3,5.0,24.4,2.0,9.9,13.9,67.5,7.6,7.2,4.0,19.5,2.7,13.0,0.0,0.0,3.3,MCDADE H S,BASTROP,011,MCDADE ISD,011905,13,AUSTIN,64597.0,0.432,76371.0,10.92023378528667,88.45,56.0
012901001,89.0,82.0,78.0,83.0,10.1,7.8,9.8,5.9,2.5,12.5,2.2,11.1,2.6,13.2,7.2,36.3,5.4,26.9,14.1,71.0,14.7,7.6,4.8,24.2,1.0,4.8,0.0,0.0,7.5,SEYMOUR H S,BAYLOR,012,SEYMOUR ISD,012901,09,WICHITA FALLS,40739.0,0.4084,58214.0,11.350293542074365,87.73,50.09
013901001,45.0,40.0,29.0,63.0,18.6,16.4,16.7,18.2,2.2,3.9,26.3,45.5,7.1,12.3,11.5,19.9,10.6,18.4,36.3,62.8,10.5,17.0,17.5,30.3,4.0,6.9,0.0,0.0,7.2,A C JONES H S,BEE,013,BEEVILLE ISD,013901,02,CORPUS CHRISTI,44578.0,0.4868,49952.0,15.700223850847877,90.36,58.36
013903001,65.0,26.0,33.0,56.0,8.4,12.8,11.6,8.0,2.0,7.9,7.9,31.7,3.1,12.5,8.1,32.3,3.9,15.5,21.9,87.5,11.1,9.2,3.1,12.5,0.0,0.0,0.0,0.0,3.0,PETTUS SECONDARY,BEE,013,PETTUS ISD,013903,02,CORPUS CHRISTI,44578.0,0.4868,49952.0,15.700223850847877,90.36,58.36
013905001,55.0,56.0,57.0,66.0,14.6,14.9,16.6,12.2,2.5,10.1,7.1,28.8,3.0,12.2,7.9,31.9,4.2,17.0,17.2,69.6,11.4,11.1,7.5,30.4,0.0,0.0,0.0,0.0,4.4,SKIDMORE-TYNAN H S,BEE,013,SKIDMORE-TYNAN ISD,013905,02,CORPUS CHRISTI,44578.0,0.4868,49952.0,15.700223850847877,90.36,58.36
014801001,0.0,3.0,10.0,27.0,7.9,11.3,6.0,6.1,1.0,18.2,1.3,23.9,1.0,18.8,1.9,36.3,0.1,2.8,4.0,76.0,9.6,43.6,0.3,5.2,0.0,0.0,1.0,18.8,1.7,RICHARD MILBURN ALTER H S (KILLEEN,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801002,0.0,4.0,5.0,12.0,10.8,11.0,9.7,8.1,1.7,14.2,3.3,28.0,0.9,8.0,5.8,49.8,0.0,0.0,6.9,59.4,8.6,40.9,4.7,40.6,0.0,0.0,0.0,0.0,2.6,RICHARD MILBURN ACADEMY ODESSA,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801004,0.0,13.0,9.0,29.0,5.3,8.6,5.7,3.3,1.3,20.8,1.4,21.7,0.0,0.0,3.5,55.2,0.1,2.3,3.9,61.0,10.0,20.4,2.5,39.0,0.0,0.0,0.0,0.0,2.9,RICHARD MILBURN ACADEMY LUBBOCK,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801005,3.0,6.0,8.0,14.0,9.3,14.2,10.0,10.1,0.7,11.5,3.3,51.3,0.0,0.0,0.3,4.8,2.1,32.4,3.6,56.4,9.8,33.0,2.8,43.6,0.0,0.0,0.0,0.0,2.1,RICHARD MILBURN ACADEMY HOUSTON (S,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801006,3.0,5.0,14.0,32.0,5.3,9.7,5.4,3.9,0.8,12.1,0.2,2.8,0.0,0.0,5.5,83.5,0.1,1.7,5.4,81.5,13.3,26.1,0.2,3.4,0.0,0.0,1.0,15.1,3.5,RICHARD MILBURN ACADEMY FORT WORTH,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801007,10.0,14.0,7.0,25.0,5.8,12.8,8.5,8.3,2.7,31.4,3.4,39.7,0.0,0.0,0.5,6.2,2.0,22.8,5.8,66.6,8.8,32.0,2.9,33.4,0.0,0.0,0.0,0.0,1.8,RICHARD MILBURN ACADEMY CORPUS CHR,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801008,2.0,20.0,11.0,33.0,6.2,11.5,6.1,6.3,0.8,11.8,3.1,47.3,1.0,15.2,0.5,8.2,1.1,17.4,4.3,66.1,8.9,23.7,2.2,33.9,0.0,0.0,0.0,0.0,3.0,RICHARD MILBURN ACADEMY AMARILLO,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801009,3.0,8.0,7.0,25.0,5.3,10.3,6.1,6.1,2.7,40.9,0.4,5.5,2.0,30.7,1.3,20.6,0.1,2.3,6.4,97.5,7.8,24.2,0.2,2.5,0.0,0.0,0.0,0.0,1.4,RICHARD MILBURN ACADEMY PASADENA,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014801010,2.0,6.0,11.0,15.0,4.8,6.3,6.2,4.4,2.5,39.9,1.6,25.6,0.7,11.1,0.8,12.5,0.7,10.9,4.9,80.1,7.7,21.8,0.7,12.0,0.0,0.0,0.5,7.9,2.4,RICHARD MILBURN ACADEMY MIDLAND SO,BELL,014,RICHARD MILBURN ALTER HIGH SCHOOL,014801,20,SAN ANTONIO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014804005,40.0,63.0,50.0,72.0,2.6,1.4,1.8,1.9,0.0,0.0,0.0,0.0,1.0,50.1,0.0,0.0,1.0,49.9,0.0,0.0,15.5,37.0,1.0,49.9,0.0,0.0,1.0,50.1,0.5,GATEWAY TECH H S,BELL,014,ORENDA CHARTER SCHOOL,014804,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014804006,65.0,84.0,83.0,86.0,19.5,14.7,19.9,19.7,7.0,9.5,24.8,33.9,17.0,23.2,18.5,25.2,6.0,8.2,59.5,81.2,8.7,17.7,13.8,18.8,0.0,0.0,0.0,0.0,2.6,GATEWAY COLLEGE PREPARATORY SCHOOL,BELL,014,ORENDA CHARTER SCHOOL,014804,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014901001,29.0,59.0,54.0,73.0,16.4,14.3,15.0,18.8,0.0,0.0,8.7,24.7,4.0,11.3,12.2,34.5,10.4,29.5,31.6,89.1,15.5,12.7,3.8,10.9,0.0,0.0,0.0,0.0,7.1,ACADEMY H S,BELL,014,ACADEMY ISD,014901,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014902001,24.0,42.0,42.0,95.0,9.4,17.9,15.6,11.7,0.0,0.0,10.0,39.3,6.3,24.9,6.1,24.0,3.0,11.8,19.1,75.1,9.9,13.4,6.3,24.9,0.0,0.0,0.0,0.0,3.5,BARTLETT SCHOOLS,BELL,014,BARTLETT ISD,014902,13,AUSTIN,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014903001,42.0,69.0,49.0,70.0,20.5,20.5,22.3,23.8,10.6,5.4,56.1,28.3,37.1,18.8,67.5,34.1,26.7,13.5,130.7,66.0,11.3,14.8,58.3,29.5,8.0,4.0,1.0,0.5,6.0,BELTON H S,BELL,014,BELTON ISD,014903,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014903005,37.0,82.0,75.0,89.0,19.8,20.5,20.0,22.0,1.0,4.4,6.3,27.8,6.1,26.9,8.2,36.4,1.0,4.4,16.2,71.6,10.9,23.1,6.4,28.4,0.0,0.0,0.0,0.0,5.9,BELTON NEW TECH H S AT WASKOW,BELL,014,BELTON ISD,014903,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014905001,50.0,90.0,60.0,73.0,10.7,11.1,14.6,14.1,0.0,0.0,4.9,25.0,3.3,17.1,6.3,32.1,5.0,25.7,15.7,80.3,14.7,10.8,2.8,14.6,0.0,0.0,1.0,5.1,7.6,HOLLAND H S,BELL,014,HOLLAND ISD,014905,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906001,23.0,47.0,38.0,73.0,14.3,18.3,17.1,18.6,16.6,10.8,56.6,36.9,23.6,15.4,34.9,22.7,21.9,14.2,93.3,60.8,9.2,15.0,54.7,35.7,5.4,3.5,0.0,0.0,7.2,KILLEEN H S,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906002,37.0,54.0,44.0,76.0,19.5,20.4,20.5,21.8,9.9,6.9,46.9,32.4,21.5,14.9,44.7,30.9,21.5,14.9,99.3,68.7,10.4,18.2,41.7,28.9,3.5,2.4,0.0,0.0,8.6,C E ELLISON H S,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906006,0.0,8.0,16.0,33.0,,,,,0.2,0.8,4.4,18.0,7.3,29.8,4.3,17.3,8.4,34.1,15.5,63.2,14.0,14.4,8.0,32.5,1.1,4.3,0.0,0.0,10.7,PATHWAYS ACADEMIC CAMPUS,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906007,37.0,63.0,58.0,86.0,16.1,17.2,17.8,17.7,10.8,7.0,49.6,32.1,30.7,19.9,38.3,24.8,24.8,16.1,102.5,66.4,10.2,16.3,48.6,31.5,2.4,1.5,0.8,0.5,8.2,HARKER HEIGHTS H S,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906008,29.0,41.0,34.0,66.0,14.9,18.2,18.1,17.1,13.5,10.1,48.3,36.0,23.7,17.7,31.9,23.8,16.7,12.5,84.9,63.3,9.3,16.2,41.7,31.1,6.6,4.9,1.0,0.7,6.9,ROBERT M SHOEMAKER H S,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
014906013,93.0,94.0,86.0,92.0,17.1,19.8,18.1,18.3,3.8,7.1,23.0,43.1,10.0,18.8,11.5,21.6,5.0,9.4,35.8,67.1,8.2,19.2,17.5,32.9,0.0,0.0,0.0,0.0,5.7,KILLEEN ISD EARLY COLLEGE H S,BELL,014,KILLEEN ISD,014906,12,WACO,54884.0,0.4372,64505.0,13.412360072753565,88.09,56.18
